STATION,PERIOD START,PERIOD END,MTL-MSL (MM)
1,1807,1835,-23
4,1833,1843,-2
5,1938,1959,-32
7,1843,1984,-88
15,1903,1911,65
43,1931,1958,31
44,1937,1956,16
52,1882,1958,4
59,1884,1977,-2
154,1875,1889,2
162,1908,1958,7
168,1909,1939,0
204,1937,1948,10
205,1952,1958,1
206,1952,1957,4
218,1917,1934,0
257,1959,1972,127
257,1976,1981,127
257,1983,1985,127
258,1924,1963,3
293,1937,1938,-99999
301,1927,1929,14
369,1932,1958,-51
388,1934,1935,-1
414,1937,1957,3
417,1937,1957,31
438,1939,1955,2
543,1948,1958,-49
596,1950,1951,-157
696,1952,1957,0
770,1955,1956,19
807,1956,1956,-39
818,1957,1957,-4
825,1957,1960,-99999
843,1957,1969,3
1010,1962,1963,-3
1036,1963,1998,-121
1037,1963,1984,-81
1067,1964,1971,-344
1112,1965,1965,-73
