IceName,FPName,FPID,IceID
Alaska,Alaska,glac11,1
WesternCanUS,Western_Can_US,glac12,2
ArcticCanadaNorth,Ellesmere,glac14,3
ArcticCanadaSouth,Baffin,glac13,4
GreenlandGIC,GreenlandGIC,gis,5
Iceland,Iceland,glac1,6
Svalbard,Svalbard,glac2,7
Scandinavia,Scandinavia,glac10,8
RussianArctic,NOVAYA_ZEMLYA,glac3,9
NorthAsia,Kamchatka,glac5,10
CentralEurope,Alps,glac9,11
Caucasus,Caucasus,glac8,12
CentralAsia,HMA_1,glac6,13
SouthAsiaWest,HMA_2,glac7,14
SouthAsiaEast,HMA_2,glac7,15
LowLatitudes,Low_Lat_Andes,glac15,16
SouthernAndes,Patagonia,glac16,17
NewZealand,New_Zealand,glac17,18
AntarcticGIC,AntarcticGIC,wais,19
