               Model       F4x    Lambda      Cmix     Cdeep     Gamma   Epsilon
          ACCESS-CM2    7.6581    0.6877    8.8173   97.4564    0.5277    1.4939
       ACCESS-ESM1-5    6.9731    0.7214    9.0163   96.7855    0.6054    1.7062
       AWI-CM-1-1-MR    8.4080    1.2981    8.1684   54.6985    0.4933    1.3012
         BCC-CSM2-MR    6.8870    1.0601    8.5130   73.6879    0.6415    1.3189
            BCC-ESM1    6.6794    0.9350    8.4652   91.7194    0.5821    1.3315
         CAMS-CSM1-0    8.8829    1.8751   10.0141   62.4085    0.5306    1.3362
          CAS-ESM2-0    7.1346    0.9282    7.5720   72.8257    0.4498    1.4289
           CESM2-FV2    7.9362    0.5592    7.9625   91.0971    0.6983    1.9094
     CESM2-WACCM-FV2    7.1276    0.5936    7.6034  111.7078    0.7052    1.5395
         CESM2-WACCM    8.2798    0.7344    8.7183   84.8563    0.7154    1.6252
               CESM2    8.8426    0.7186    8.3262   70.6435    0.6368    1.7328
       CNRM-CM6-1-HR    7.5314    0.9427    8.0700   90.4329    0.5783    0.7508
          CNRM-CM6-1    7.5059    0.7697    7.0516  121.1397    0.5555    1.0262
         CNRM-ESM2-1    5.7027    0.6321    7.4793   94.9424    0.6149    0.8652
             CanESM5    7.6149    0.6585    7.8567   78.8290    0.5393    1.0895
            E3SM-1-0    7.4155    0.6381    8.4253   43.7681    0.3554    1.4099
       EC-Earth3-Veg    7.8140    0.8550    8.1248   38.5370    0.4501    1.4190
           EC-Earth3    7.3660    0.8228    8.4572   38.4105    0.4758    1.4261
         FGOALS-f3-L    9.5356    1.4323    9.2896   87.9782    0.5308    1.6309
           FGOALS-g3    7.8715    1.2821    8.2065  112.6519    0.6670    1.2961
            GFDL-CM4    8.4511    0.8888    7.3637   96.5422    0.5760    1.8493
           GFDL-ESM4    7.3355    1.2741    8.4389  129.9377    0.6039    1.2271
         GISS-E2-1-G    8.1084    1.4609    6.5230  145.0303    0.8499    1.0884
         GISS-E2-1-H    7.5798    1.1675    8.7592   83.3610    0.6339    1.2106
         GISS-E2-2-G    7.2482    1.6284    8.6302  293.0528    0.5667    0.7175
     HadGEM3-GC31-LL    7.4570    0.6236    8.0742   78.1119    0.5066    1.2269
     HadGEM3-GC31-MM    7.3703    0.6665    7.8493   70.7538    0.6060    1.0723
            IITM-ESM    9.2478    1.9323    9.3825  159.1926    0.7340    1.0687
           INM-CM4-8    6.2508    1.6883    7.8375   29.2022    0.6418    1.2141
           INM-CM5-0    6.3507    1.5876    9.1988   51.9482    0.5452    1.3843
        IPSL-CM6A-LR    7.5224    0.7635    8.2089   60.0282    0.4394    1.3501
          MCM-UA-1-0    7.1164    1.0436    8.4833  129.9260    0.7446    0.8042
          MIROC-ES2L    7.9782    1.5379   10.8181  199.5953    0.6561    0.8925
              MIROC6    7.7304    1.3612    9.0016  182.3767    0.6429    1.3102
       MPI-ESM1-2-HR    8.6334    1.3359    8.8884   84.1317    0.6636    1.4943
       MPI-ESM1-2-LR    9.2784    1.4608    9.2457  104.6313    0.6298    1.2896
          MRI-ESM2-0    8.0336    1.2023    7.8887   92.8431    0.9363    1.3394
               NESM3    7.7214    0.8349    5.4958  103.6867    0.4742    0.9664
          NorESM2-LM   10.2131    1.7696    6.0059  115.6639    0.9004    1.9229
          NorESM2-MM    9.3908    1.6922    6.1302  116.9746    0.7920    1.6574
         SAM0-UNICON    8.6945    1.1351    7.6674  106.8641    0.8227    1.2108
             TaiESM1    8.5134    0.9165    8.7171   97.2591    0.6342    1.2661
         UKESM1-0-LL    7.6100    0.6826    7.7731   77.1535    0.5398    1.1444
               CIESM    8.9425    0.7152    8.5947   73.2282    0.6691    1.3837
