Component            Module                subModule                DataFile
Glaciers             ipccar5               glaciers                 ar5glaciers.ipccar5.glaciers_globalsl.nc    
Glaciers             emulandice            glaciers                 emuglaciers.emulandice.glaciers_globalsl.nc    
GrIS                 FittedISMIP           GrIS                     GrIS1f.FittedISMIP.GrIS_GIS_globalsl.nc
GrIS                 emulandice            GrIS                     emuGrIS.emulandice.GrIS_globalsl.nc
GrIS                 bamber19              icesheets                bamber19.bamber19.icesheets_GIS_globalsl.nc                  
AIS                  ipccar5               icesheets                ar5AIS.ipccar5.icesheets_AIS_globalsl.nc    
AIS                  emulandice            AIS                      emuAIS.emulandice.AIS_globalsl.nc
AIS                  larmip                AIS                      larmip.larmip.AIS_globalsl.nc        
AIS                  deconto21             AIS                      deconto21.deconto21.AIS_AIS_globalsl.nc
AIS                  bamber19              icesheets                bamber19.bamber19.icesheets_AIS_globalsl.nc                    
TE                   tlm                   sterodynamics            ocean.tlm.sterodynamics_globalsl.nc
